id,sentences,sentence_embeddings
1,"Mental health encompasses emotional, psychological, and social well-being, influencing cognition, perception, and behavior.","[0.2077588, 0.3205036, 0.15082607, -0.052144457, 0.28281647, 0.37070286, 0.64653236, 0.4173496, 0.1376215, -0.18728627, 0.029651955, -0.073093444, -0.18680458, 0.16447671, -0.020824207, 0.38495722, 0.40819493, 0.21662316, 0.009932759, 0.17182909, -0.3280469, -0.047687598, -0.23517358, 0.17045796, 0.18150212, -0.22140674, -0.11612445, 0.27130067, -0.18055268, -0.36871156, 0.19814712, 0.280056, -0.40832767, -0.12941399, -0.098869435, 0.22220309, -0.32140326, -0.21797001, -0.20972969, -0.004863393, -0.6847591, -0.38219854, -0.26472503, 0.3603323, -0.14541245, -0.24123071, 0.010353926, 0.2961326, -0.07249995, 0.27570137, -0.5511719, 0.25351384, 0.18767005, -0.14352101, 0.11691804, 0.3726845, 0.010203378, -0.4042866, -0.17257461, -0.22457458, 0.09403697, -0.057011954, 0.236769, -0.17250648, 0.055464108, -0.23709126, 0.04597619, 0.08287236, -0.36671436, -0.21444678, -0.51516867, -0.04082455, -0.3245413, 0.0018667268, -0.7154392, 0.06770729, -0.08127723, -0.28990018, -0.042174324, -0.22030391, -0.43629712, 0.413408, 0.13920815, 0.11351785, 0.04429838, 0.22713092, -0.02487183, 0.23579241, -0.257951, 0.13572434, 0.21619706, 0.15865766, 0.103100054, 0.0069360943, 0.08988964, 0.14047614, 0.6250046, -0.24992521, -0.41040295, -0.045273144, 0.36074618, -0.50676733, 0.16399223, 0.14471109, -0.1217686, -0.043596108, 0.15611686, -0.4163864, -0.023352262, 0.2312396, -0.12601542, 0.19001932, -0.20280659, -0.06162145, -0.4350584, 0.38545248, -0.004046946, 0.011420639, -0.1015961, -0.006266672, 0.021832794, -0.3843752, 0.008643779, 0.18064466, -0.24676953, -0.17286098, 0.018638488, -0.055853818, 0.23965319, -0.5937091, 0.19253121, 0.20498955, 0.046703856, -0.31271726, -0.38047937, 0.42847323, 0.065483555, -0.053715155, -0.21827964, 0.16236195, -0.11489105, -0.6466331, 0.15303351, -0.34319466, 0.4833864, -0.19036189, 0.10010697, 0.054000888, 0.13687842, 0.03412259, 0.23623396, 0.22229218, 0.03314321, -0.21058437, 0.23768008, 0.09587928, -0.2871813, 0.16650733, -0.042495683, 0.10106609, 0.28165326, 0.0076518594, -0.19135098, 0.050995346, -0.055044625, 0.13124183, -0.22985344, 0.62784815, 0.040568672, 0.07950642, 0.05252565, 0.018086191, 0.53866315, -0.112824254, 0.083027296, -0.11368393, -0.17624553, 0.14520118, 0.1636963, 0.23934527, -0.5406814, 0.17949064, 0.11684086, -0.03273989, 0.047573615, -0.3232132, 0.09355127, -0.42245066, -0.17874508, -0.43234578, -0.025831414, -0.5057489, -0.1106551, -0.06930597, 0.2311988, -0.41443855, -0.016540164, 0.36586368, -0.34629813, -0.30264536, -0.039258204, -0.26816344, -0.046058316, 0.07729831, -0.07194265, -0.5385451, 0.012597337, -0.19930702, -0.24379906, 0.1262512, -0.17986722, 0.1958156, -0.25027835, -0.034977663, 0.08606945, -0.25293553, -0.3053066, 0.39752775, -0.34611902, -0.16537616, 0.12080043, -0.06099802, -0.09845624, 0.21937785, 0.06533678, 0.44866115, 0.07735502, 0.07055097, 0.36789235, 0.20770334, 0.13654168, 0.1598751, 0.30042708, -0.07628593, -0.23084512, 0.21749403, -0.117849626, -0.31515115, 0.08680475, -0.5126124, -0.45886558, 0.1213077, -0.0035561295, 0.1493218, 0.2061049, -0.2103683, 0.01166176, 0.28923684, -0.5241467, 0.09331378, -0.40494704, 0.15884602, 0.34093592, -0.009924508, 0.16605805, -0.33452824, 0.20646922, 0.21077128, -0.061672404, -0.108938105, 0.13342892, 0.14248292, 0.1215218, 0.0030833175, -0.25714093, -0.8132758, 0.15084448, -0.032299075, 0.19564573, 0.23970568, 0.47197026, -0.580003, -0.13784425, 0.5321588, -0.042267777, -0.6116169, 0.36927933, -0.044824682, -0.06210529, 0.13298072, 0.12282008, 0.45212126, -0.22178873, -0.13600577, 0.068346605, -0.27767456, -0.026580757, 0.10049066, -0.1437347, 0.011956094, -0.017977618, 0.26656786, 0.025818376, -0.23223212, 0.48597372, 0.37291387, 0.24684535, 0.6747425, 0.31073135, -0.015122113, 0.15241319, -0.42538545, 0.3962918, -0.029848682, -0.20308088, 0.10962259, -0.06977072, -0.24151404, -4.4600825, 0.17556201, 0.42666543, -0.22000219, 0.10435091, 0.3620856, 0.45237458, 0.2548385, -0.53774893, 0.1592632, -0.1138787, -0.36784542, 0.2772829, 0.107047394, 0.02823462, -0.072326526, 0.34545833, -0.4466507, -0.2693065, 0.56597424, 0.24676837, -0.07927018, -0.32400867, 0.21046953, -0.07806724, 0.043347675, 0.05265196, -0.11732322, 0.03843437, -0.084387444, 0.19733337, -0.15439469, -0.11322473, 0.2828807, 0.21464089, 0.078525856, -0.47671306, -0.1351487, 0.14238077, -0.21262392, -0.15891424, 0.11233366, -0.15449041, -0.1174167, 0.32689235, 0.020266239, 0.15730503, 0.30761912, -0.08587696, 0.02198216, 0.013227162, 0.23598151, -0.2628433, -0.2993116, 0.1402719, -0.10587516, 0.4782096, 0.01746282, -0.2830709, -0.20805193, 0.15747093, -0.059910547, -0.06177233, -0.23318888, -0.04686855, 0.30727088, -0.7483129, -0.7089631, 0.20846337, 0.1490162, 0.15961175, 0.5579547, -0.2606211, -0.25135607, -0.18995136, -0.49145845, 0.12219284, -0.10231543, 0.44976744, -0.056388423, -0.043360915, -0.07939461, -0.11026137, -0.26021016, 0.10855364, 0.02891147, -0.11525052, 0.11948869, -0.6638439, -0.025298653, 0.4275494, 0.04449773, 0.36149564, 0.37142792, -0.031799503, 0.048553992, 0.27844393, 0.25342748, 0.10191405, -0.08255332, 0.11390123, -0.2529694, 0.361476, 0.046095837, -0.29704046, 0.3910614, -0.28644326, -0.16443992, 0.64962554, -0.31046432, -0.030833881, 0.0022987248, 0.32656243, -0.24599807, 0.05446078, -0.10629782, -0.00041050633, 0.6311551, 0.07929435, 0.18392667, 0.21200994, 0.268476, -0.44935995, -0.09231253, -0.10806646, 0.16559616, -0.09086557, 0.20901167, -0.2150034, -0.15472199, 0.35019004, -0.052324086, -0.2701742, 0.39760217, 0.22496335, 0.10102131, 0.087708995, -0.077842355, -0.21266866, -0.023713723, 0.30534428, 0.19225267, -0.22634156, -0.4008995, -0.051030632, -0.19933593, -0.44592637, 0.0033890526, -0.12487617, 0.2863552, -0.1236706, 0.020978533, -0.43507406, 0.09696509, -0.21977438, 0.17671628, 0.40814412, -0.14304376, 0.11282553, -0.5060033, -0.16512719, -0.0021562444, -0.122109324, -0.07988301, -0.3953949, 0.40500772, -0.2948544, -0.10471994, -0.009504157, 0.16639178, 0.082725376, -0.05293902, 0.31230715, -0.3303345, -0.10392015, 0.05616099, 0.20389695, -0.07360685, -0.21445891, 0.22566238, 0.041952647, -0.19034077, -0.29545632, -0.31507227, -0.07835825, 0.10842461, 0.5600379, 0.13276944, -0.12627082, -0.16263852, -0.02447642, 0.012708023, -0.14675416, -0.18896149, -0.13121372, 0.17802061, 0.106375694, -0.12509617, 0.1221174, 0.2989914, 0.10157789, 0.054961607, -0.1415073, -0.13870619, -0.10588034, -0.24569452, 0.015655467, 0.058043044, -0.5746896, 0.2427831, -0.41074225, 0.0074828486, -0.30893305, 0.032263238, 0.43065253, -0.33421, 0.008328298, -0.267246, -0.38874045, 0.12979381, -0.10275643, 0.11224771, 0.09703932, 0.09906685, -0.24051338, -0.57415336, 0.00768618, 0.22808498, -0.15611276, 0.1549867, -0.115168154, -0.16349047, 0.1742569, 0.05209307, 0.032311704, -0.40676257, -0.07189444, -0.21669641, 0.3062361, -0.25982687, 0.0035903617, 0.3300864, -0.20138875, -0.40931576, 0.34749648, -0.023835348, 0.083245695, 0.09392, -0.028766373, -0.082390994, 0.002978751, -0.1339884, -0.49939248, 0.16606395, 0.121623725, -0.3397766, -0.32486802, -0.45051816, 0.028125029, -0.11713848, 0.14612703, -0.015643977, -0.17882141, 0.2750865, 0.28162593, 0.03705029, 0.053986266, 0.23684913, 0.117879875, -0.30410948, 0.5960551, -0.21711886, -0.10077935, -0.13725847, -0.05008429, 0.2405598, 0.025349973, -0.07628806, 0.02559488, -0.45028052, -0.0032694335, -0.15501034, -0.08735968, -0.22426483, -0.13582814, -0.37374562, 0.078362, 0.01977682, -0.18094483, -0.2145204, 0.077397056, -0.12700474, -0.13784243, -0.015415461, -0.20457132, -0.086983524, 0.13155898, 0.61855406, -0.031685933, 0.21483867, -0.058880523, 0.34473398, 0.010879263, -0.0020620148, 0.04637183, 0.1515399, -0.0814546, -0.33637044, -0.18258801, -0.052418273, -0.10183351, -0.29927367, 0.54751444, 0.10854056, -0.6472884, -0.0449057, 0.076446325, -0.047355488, 0.47431353, 0.3091222, -0.07830219, -0.23470148, 0.5273482, -0.08614807, 0.27560595, 0.4572525, 0.0499105, 0.13179338, 0.25833255, 0.45937422, 0.08952781, 0.3008451, 0.15867357, 0.36823487, -0.06363313, 0.012649639, 0.02296925, 0.29248756, -0.32941663, 0.47164723, 0.27724734, 0.07682744, 0.037512153, 0.5387988, 0.07797236, 0.303053, 0.0768636, 0.49828944, 0.05365975, -0.11392859, 0.3319119, -0.3820597, 0.5815108, 0.393629, 0.2511058, -0.021836087, 0.7844971, 0.17135884, -0.30738488, 0.6373421, -0.15107763, 0.13973343, 0.53168106, -0.49493688, 0.29587072, 0.0021359022, 0.10772997, -0.37323084, 0.31767103, 0.35972542, -0.21237154, 0.32139862, -0.28339183, -0.06557152, 0.070653155, 0.1606988, 0.22848363, -0.15428396, -0.18387385, -0.53522897, 0.1293107, -0.1423803, -0.24718758, -0.4388693, -0.24035588, 0.14223412, -0.2763296, -0.29754168, -0.0076539502, -0.40126064, 0.08201108, -0.2012249, 0.36856234, 0.0020677515, 0.06229135, 0.08787963, 0.29048157, 0.08636355, 0.68588483, -0.5516899, -0.025391633, 0.026054569, -0.28980085, 0.004596435, -0.26868367, 0.026114184, -0.051944554, -0.08876406, -0.5017318, -0.2115737, -0.18061936, 0.18670148, -0.42723647, 0.6112245, 0.0058730845, 0.17738888, 0.1077942, -0.15914677, -0.34244585, -0.21797027, 0.15327792, -0.047761135, 0.027207661, 0.25309184, -0.55520326, 0.23541228, -0.05716763, 0.16694848, -0.14489938, -0.2494234, -0.5061841, 0.107850134, 0.103389286, 0.18749581, -0.07999181, -0.17392333, -0.077496886, 0.20452437, -0.17634231, -0.39123854, -0.30326337, -0.015280255, 0.348625, 0.012705144, 0.2904071, 0.29156315, -0.36253634, -0.22100392, -0.093547806, -0.25780508, -0.019995335, -0.12519234, 0.08535939, -0.09376039, -0.0076922257, -0.21355328, 0.035835426, -0.36808896, -0.38572046, 0.21353051]"
2,"According to World Health Organization (WHO), it is a ""state of well-being in which the individual realizes his or her abilities, can cope with the normal stresses of life, can work productively and fruitfully, and can contribute to his or her community"".","[-0.10995298, 0.27855635, 0.24241367, -0.22153553, 0.56277287, -0.12005731, 0.39553174, 0.5661296, -0.01780447, -0.2603811, -0.07464973, -0.2163491, -0.017286021, 0.5754057, -0.09367485, 0.40487635, 0.6592267, 0.15257125, -0.043646254, 0.3750416, -0.1426529, -0.41131976, -0.23874457, 0.64770544, 0.62371427, -0.13107023, -0.04019711, -0.005824561, -0.044406947, -0.6412712, 0.49773875, 0.1636103, -0.22205271, -0.40869322, 0.043603465, 0.11907392, -0.17099705, -0.32015863, -0.26906946, -0.069442734, -0.684405, -0.62791896, -0.22818916, 0.30368638, 0.01213423, -0.3250966, 0.33780238, 0.13959338, 0.08586871, 0.18331595, -0.42547253, 0.069727235, -0.13601618, -0.23066717, 0.41045418, 0.46585578, -0.1804685, -0.46950126, -0.44524455, -0.33829984, 0.2515935, -0.19481334, 0.22691469, -0.6140426, 0.08269482, 0.13714816, 0.2961585, 0.20687765, -0.32619086, -0.30481112, -0.38388142, -0.26304892, -0.1379235, -0.02109531, -0.5201996, -0.08782148, -0.18135512, -0.1843459, -0.040347088, -0.11843974, -0.30544564, 0.3997148, -0.4037675, 0.5791308, 0.011662404, 0.2048917, 0.17302977, 0.09961592, -0.51242936, 0.4447718, 0.054390118, 0.23073758, 0.071130864, 0.22529101, 0.24677004, 0.025678158, 0.53806376, -0.17085747, -0.47970963, 0.15753391, 0.5808556, -0.43665215, 0.17992961, -0.0717515, -0.10961163, -0.050512582, 0.43995684, -0.24811447, -0.015389491, 0.2718371, 0.19956207, -0.23537825, -0.17004357, -0.23988381, -0.15256451, 0.27185264, 0.11347033, 0.025489965, -0.20242608, 0.119000375, 0.05412289, -0.40021372, -0.109032914, 0.7848314, -0.14587243, -0.26549855, -0.027380422, 0.11352169, 0.007752572, -0.37393218, 0.31564787, 0.18436164, -0.06285711, -0.7296575, -0.38320822, 0.45519474, -0.08661004, -0.08253654, -0.39282987, 0.18723218, 0.26285413, -0.4986256, 0.36249846, -0.05888288, 0.23854813, 0.027798975, 0.2360863, 0.041578963, 0.038142353, 0.14037791, 0.22127026, -0.098852634, -0.13961425, -0.24074462, -0.1570573, 0.012400869, -0.54740167, 0.20822568, 0.03680681, 0.10251136, 0.41610482, -0.121051855, 0.032262623, 0.021864407, -0.1839982, 0.13155252, -0.17079997, 0.6881209, -0.12057944, 0.1869174, -0.11678332, -0.10556767, 0.7501116, -0.077299625, 0.10785378, -0.35266465, 0.3540143, 0.1393254, 0.35265368, 0.023139518, -0.9200626, 0.14131036, 0.16372043, 0.39341974, 0.13208774, -0.29372153, 0.0048892377, -0.2067571, -0.14225991, -0.08548347, -0.06129659, -0.3093885, -0.59794515, -0.22809896, -0.022283467, -0.46385312, 0.069090486, 0.3508744, -0.72654253, -0.3159719, -0.09355292, -0.09684448, 0.15465039, 0.061055306, -0.344734, -0.2825975, 0.3204979, -0.44858015, -0.29817593, -0.13542181, -0.2761287, 0.33988917, -0.002627485, -0.11345193, -0.11987438, 0.03192813, -0.12417086, 0.3136651, -0.17805846, 0.010237284, 0.31976947, -0.03890203, -0.13226354, 0.31986237, 0.19391231, 0.6254149, 0.21019925, -0.21330951, -0.07195452, 0.71409976, 0.19358616, -0.11607833, 0.6064312, 0.058341958, -0.6193598, 0.09620931, -0.27895355, -0.19634148, 0.33307508, -0.60882723, -0.40164855, 0.24524297, 0.29872957, -0.15397608, 0.2879027, -0.009792643, -0.11544328, 0.32606062, -0.32063392, 0.09463761, -0.20808646, -0.43465507, -0.10852193, -0.16520542, 0.023236929, -0.6229124, 0.21266897, 0.19125871, -0.23007911, 0.089991026, 0.18122965, -0.0030565837, 0.07254799, 0.18421969, -0.35991445, -0.92875195, 0.15909587, -0.051506273, 0.14124747, 0.1393619, 0.42909655, 0.16290902, -0.20322414, 0.6043654, -0.16513659, -0.4114998, 0.257451, 0.36532745, -0.015651124, 0.04197373, 0.15308951, 0.5351009, -0.28403413, 0.059743956, -0.011205794, -0.14817761, 0.007795088, 0.117634155, -0.32355472, -0.20115592, -0.19263934, 0.12279565, -0.13469298, -0.46888402, 0.6202124, 0.1711627, 0.28075773, 0.48208132, 0.23250094, 0.036329996, -0.0191486, -0.5960401, 0.34737992, 0.08873498, -0.40488574, 0.2650049, -0.054556973, -0.6042076, -2.868681, 0.013615514, 0.3040199, -0.21548301, 0.36455724, 0.07616208, 0.35766628, -0.013071979, -0.5554765, 0.2543654, -0.10113199, -0.4535536, 0.5775766, 0.3184625, -0.08216531, -0.09139543, 0.35264394, -0.17476505, -0.2466781, 0.48096547, 0.1572282, -0.61820763, -0.20613478, 0.17192742, 0.39116114, 0.14073327, -0.10411417, -0.33045617, -0.26987386, -0.17173254, 0.1774883, -0.30848864, 0.07359804, 0.0868864, 0.17047772, 0.18661024, 0.00086851185, -0.06553487, -0.2337439, -0.5772924, -0.2349084, -0.6432419, -0.13450265, -0.043898944, 0.9312903, 0.12990731, 0.074068844, 0.06602156, -0.03952956, 0.33946523, 0.21741094, 0.24366926, -0.23027036, -0.08993759, -0.33226883, -0.13079411, 0.81119066, 0.3363703, -0.20312835, -0.5103966, 0.19778791, -0.15005694, -0.40444356, -0.07106526, -0.095887944, -0.05152618, -0.60672206, -0.3698242, 0.028459068, 0.15078902, 0.1313758, 0.3806316, -0.36377078, -0.31649172, -0.16885227, -0.93434244, 0.2474886, 0.03845168, 0.114181966, -0.10460938, -0.12434011, -0.38371634, -0.076076806, -0.034462277, 0.15125157, -0.22670609, 0.16044885, 0.21748684, -0.16532552, -0.43617824, 0.5651607, 0.11196936, 0.16466469, 0.20828678, -0.00039014482, 0.0043374556, 0.0730528, 0.1693114, 0.16073586, -0.21670352, -0.36725605, -0.07664748, 0.5930483, -0.06935651, -0.12021689, 0.032437157, -0.28864512, -0.05000934, 0.41268352, -0.22109263, 0.13994518, -0.46874654, 0.37465167, -0.23385361, 0.1690883, -0.15235324, 0.3564688, 0.7036099, -0.10635476, 0.066267066, 0.31672862, 0.54656005, -0.0076001226, -0.0042292518, -0.12313898, 0.14877862, -0.247848, 0.056046125, -0.062606536, -0.3975889, 0.0815901, -0.23954216, -0.043257415, 0.35283282, 0.11733496, 0.06411971, -0.029830849, -0.16137248, -0.26369783, 0.546374, 0.07090407, 0.39584756, -0.31167224, -0.4777601, -0.18755586, 0.22869408, -0.031387597, 0.1345378, -0.36486223, 0.35665998, -0.21048993, 0.13472301, -0.44690815, -0.2197533, -0.019218424, 0.10888527, 0.3117155, -0.077075, -0.04038987, -0.73068815, -0.02569862, 0.34160644, -0.094454, 0.040521782, -0.20361423, 0.28772876, 0.12843451, -0.060377263, -0.1685322, 0.57438767, 0.15926407, -0.0748574, 0.25241178, -0.47338817, -0.20111062, 0.21939479, -0.014832005, -0.044909146, -0.08109058, 0.065437295, 0.09604268, -0.21168329, -0.44855556, -0.31919736, 0.0808886, 0.09714801, 0.56836116, -0.4076949, 0.040617928, -0.01699378, 0.019434033, 0.40054247, -0.34348324, 0.09691458, -0.30361855, -0.26572773, 0.06445423, -0.23506036, 0.144063, 0.5248447, -0.011200886, -0.50822634, -0.34736824, -0.25670835, -0.17866874, -0.36835986, -0.0971559, 0.030041348, -0.1946201, 0.34582457, -0.79251146, -0.11478568, 0.0023863215, 0.025406627, 0.30456832, -0.22408034, -0.14476801, -0.3108246, -0.24688855, 0.25271422, -0.14063579, -0.11077845, 0.32857898, 0.31532678, -0.5090201, -0.4242957, 0.09106177, 0.24933662, -0.4280056, -0.087695055, -0.20490262, -0.53350765, 0.079640254, -0.04457542, -0.035971425, 0.06530212, -0.01621821, -0.6497195, 0.010178821, -0.13581137, -0.18359071, 0.024362184, -0.053896096, -0.45178297, 0.09731145, -0.08261488, -0.17248534, 0.43763736, -0.12742095, 0.30678838, -0.19393997, -0.12427093, -0.3321149, -0.36652637, -0.08899558, -0.47485897, -0.42509463, -0.13973185, -0.072954424, -0.15584935, 0.28670067, -0.20842692, 0.057234447, 0.20238537, 0.64399016, 0.011075873, 0.048827957, 0.3310129, -0.018793805, -0.7762615, 0.27998552, -0.1414977, -0.0010199758, -0.2836895, 0.1341391, 0.2845524, 0.16135938, -0.33384156, 0.12173304, -0.6613142, -0.25158718, 0.04375849, -0.012336363, 0.051025424, 0.10555262, -0.5477264, -0.055868562, 0.43200684, -0.06613099, -0.15414819, 0.41084975, 0.065908656, -0.15378699, 0.4219574, -0.13315266, 0.13231619, 0.6111101, 0.45764807, 0.1902575, -0.13238776, 0.0141317425, 0.22630632, 0.22497755, 0.21689281, -0.015729, -0.039911844, 0.08239231, -0.4906056, -0.18662757, 0.22620557, 0.010155801, -0.5247285, 0.7582952, 0.33395463, -0.66792727, -0.26610532, -0.35535464, -0.1927274, 0.1550845, -0.034093324, 0.032158002, -0.23953874, 0.31716236, 0.3003799, 0.25038925, 0.44843465, -0.2638206, -0.26584914, -0.010907568, 0.6643844, -0.16672242, 0.13227467, -0.063115396, 0.26804847, -0.37679708, -0.15813933, -0.11614027, 0.26217058, -0.021919372, 0.2285453, 0.35426718, 0.10936168, 0.46328008, 0.84889543, 0.33491096, 0.2778691, -0.2544682, 0.20297255, 0.50092244, 0.20378195, 0.45356572, -0.060472045, 0.41080064, 0.4502267, 0.3321505, 0.036563803, 0.4798594, 0.19620784, -0.2706958, 0.52750546, -0.11493718, -0.1668238, 0.41950017, -0.8240337, 0.23389636, -0.114466764, 0.5077192, -0.45076853, -0.052000333, 0.24673793, -0.11648376, 0.15880042, -0.30604565, -0.1608594, 0.2624469, 0.18534146, -0.18497126, -0.6065452, -0.15537876, -0.1676118, -0.036508765, -0.35260093, -0.4489083, -0.25801334, -0.56231683, -0.008384027, -0.032409023, -0.34446543, -0.07015706, -0.3668793, 0.27117154, -0.070952356, -0.17640795, 0.19733258, -0.082885765, -0.16550252, 0.59252906, 0.112914406, 0.8674907, -0.19448362, -0.10237521, 0.10268314, -0.40576097, 0.05821879, 0.18267483, -0.07057104, 0.2697724, 0.02154916, -0.0037940799, -0.15040702, 0.1934705, 0.29255044, -0.53135335, 0.37289232, -0.05358992, 0.3444982, -0.0498272, -0.01372803, -0.09549277, -0.012823982, 0.015395767, -0.3817938, -0.096768945, 0.07038697, -0.35492113, 0.18954521, 0.15409565, 0.587893, -0.1478163, 0.0055880337, -0.50375277, 0.35588178, 0.11124075, 0.21435234, -0.22529423, -0.4357426, -0.23433906, -0.003816881, -0.4823862, -0.13622096, 0.00034894285, 0.2398913, 0.12283491, 0.14682756, 0.67708206, -0.109775476, -0.40392104, -0.021428782, 0.021391023, -0.2809878, -0.039340157, 0.2027236, 0.11203692, -0.25867388, -0.15374091, -0.39386937, 0.081281334, -0.43164286, -0.019174064, 0.0310391]"
